[1/11/23, 3:41:35 PM] Gen: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.
[1/11/23, 3:41:35 PM] Venegas: ‎Venegas creó este grupo.PM]
‎[2/1/24, 2:14:13 PM] Venegas: Introducción a la Proba.pdf • ‎132 páginas ‎documento omitido
‎[2/1/24, 2:14:40 PM] Venegas: Probabilidad Básica.pdf • ‎242 páginas ‎documento omitido
‎[2/1/24, 2:15:06 PM] Venegas: Introducción a la Probabilidad.pdf • ‎530 páginas ‎documento omitido
[2/1/24, 2:16:02 PM] Venegas: Este último es el que yo ya estoy leyendo, voy por la página 368
[2/1/24, 2:16:31 PM] Venegas: Muy bueno, por si quieren echarle una ojeada, honestamente, lo recomiendo demasiado, es muy intuitivo y las demostraciones no son tan tan rudas y técnicas
‎[2/1/24, 2:18:32 PM] Venegas: Teoría de la Medida y de la Probabilidad.pdf • ‎199 páginas ‎documento omitido
‎[2/1/24, 2:31:41 PM] Venegas: Solving Probability.pdf • ‎355 páginas ‎documento omitido
[2/1/24, 2:32:12 PM] Venegas: *POR ÚLTIMO*
El solucionario del Grimmet, no sé si es la misma edición, pero los estudiantes avanzados, me pasaron eso, espero nos sea de utilidad
‎[2/1/24, 2:32:14 PM] Venegas: ‎sticker omitido
[2/1/24, 2:35:36 PM] Venegas: @50663534216 ahora sí, lea malparido
[2/1/24, 2:35:40 PM] Venegas: @50663600334
[2/1/24, 4:20:10 PM] Venegas: https://m.youtube.com/watch?v=KWJMRSR-cLc
[2/1/24, 4:20:38 PM] Venegas: Eso es de Viquez, solo hay esa clase
pero es Introductoria, entonces por si la  quieren ver, ahí les roto
[2/1/24, 8:00:29 PM] Javier Hernández: Venegas con 32 virus y 7 troyanos después de piratear todo
[2/1/24, 8:00:35 PM] Javier Hernández: 🤣
[3/1/24, 8:16:43 AM] Venegas: Una pregunta, alguien fue a consulta?
[3/1/24, 8:16:48 AM] Venegas: 🤔🤔🤔🤔
[3/1/24, 8:16:53 AM] Venegas: JAJAJAJAJAJA
[3/1/24, 8:16:56 AM] Venegas: Al chile que sí!
[3/1/24, 8:18:14 AM] Adrian: Mae playo descanse mientras pueda xd. No hemos ni visto materia xd
[3/1/24, 8:18:30 AM] Venegas: Por eso pregunto, XDDDDD
[3/1/24, 8:18:40 AM] Venegas: Porque me acabo de despertar JAJAJAJAJAJAJA
[3/1/24, 8:20:26 AM] Adrian: Dichoso. Uno que es de Aserri y tiene que viajar en carreta desde las 6 AM despierto :(
‎[3/1/24, 8:21:44 AM] Venegas: ‎sticker omitido
[3/1/24, 8:24:47 AM] Javier Hernández: Ni la profe llegó a las 8
[3/1/24, 8:25:02 AM] Venegas: JAJAJAJA sisisisis
[3/1/24, 8:25:39 AM] Venegas: Hoy llega a las 11💀
[3/1/24, 8:26:30 AM] Adrian: Perdón chicos es que pensé que era domingo 💀
[3/1/24, 9:36:04 AM] Corella: Ya llegó
Aviso por si quieren venir a agarrar un buen lugar
[3/1/24, 9:45:53 AM] Venegas: Picha
[3/1/24, 9:45:55 AM] Venegas: Yo voy tarde
[3/1/24, 9:45:56 AM] Venegas: XD
[3/1/24, 9:46:01 AM] Venegas: Corella, toma fotos plis
‎[3/1/24, 9:46:03 AM] Venegas: ‎sticker omitido
‎[3/1/24, 10:49:30 AM] Javier Hernández: ‎imagen omitida
‎[3/1/24, 10:49:55 AM] Sebas: ‎sticker omitido
[3/1/24, 10:50:03 AM] Venegas: No joda
‎[3/1/24, 10:50:08 AM] Venegas: ‎sticker omitido
‎[3/1/24, 11:10:02 AM] Venegas: ‎imagen omitida
[3/1/24, 11:10:06 AM] Venegas: @50663600334
[3/1/24, 11:10:20 AM] Venegas: Eso era lo que usted decía?
[3/1/24, 11:10:34 AM] Venegas: Qué fue lo que la profe dijo de ello?
[3/1/24, 11:11:03 AM] Gustavo Amador: aja
[3/1/24, 11:54:46 AM] Venegas: Quedó mi lonchera
[3/1/24, 11:54:48 AM] Venegas: en la clase
‎[3/1/24, 11:54:50 AM] Venegas: ‎sticker omitido
‎[3/1/24, 11:54:51 AM] Venegas: ‎sticker omitido
‎[3/1/24, 11:54:51 AM] Venegas: ‎sticker omitido
‎[3/1/24, 12:08:08 PM] Fabian Brenes: ‎imagen omitida
[3/1/24, 2:53:00 PM] Venegas: @50663600334
[3/1/24, 2:53:08 PM] Venegas: Aquí sale esto
[3/1/24, 2:53:12 PM] Venegas: Por si lo quiere leer
[4/1/24, 8:55:11 AM] Venegas: https://t.me/+Mv9fNrG-bb84Zjkx
[4/1/24, 8:55:31 AM] Venegas: https://t.me/+Mv9fNrG-bb84Zjkx
[4/1/24, 8:55:22 AM] Paula: ‎Ashley Padilla añadió a Paula.
[4/1/24, 6:33:05 PM] Juan Pablo: ‎Juan Pablo se unió usando el enlace de invitación de este grupo
[5/1/24, 7:03:38 PM] Sofía Bocker: ‎Cambió tu código de seguridad con Sofía Bocker.
‎[5/1/24, 7:39:03 PM] Venegas: Intro A Probabilidad.pdf • ‎126 páginas ‎documento omitido
[5/1/24, 7:39:12 PM] Venegas: Les roto los apuntes de Cauchy de Proba
‎[5/1/24, 7:39:16 PM] Venegas: ‎sticker omitido
[5/1/24, 7:39:53 PM] Venegas: De nada putas
‎[5/1/24, 7:39:57 PM] Venegas: ‎sticker omitido
[5/1/24, 7:45:27 PM] Venegas: https://t.me/+Mv9fNrG-bb84Zjkx
[5/1/24, 7:45:39 PM] Venegas: Les vuelvo a pasar el enlace del grupo de Telegram, que no están todos
[5/1/24, 7:45:47 PM] Venegas: Y rotenselos a los que no lo tienen plis
[5/1/24, 7:45:51 PM] Venegas: Grax, los tqm
[8/1/24, 8:25:50 AM] Corella: Ya está mediación
Lo único es que hay que autoinscribirse buscando entre los cursos que se llamen Probabilidad
La clave es ca0721.III2023 si no me equivoco
[8/1/24, 8:26:05 AM] Venegas: 10/10
Gracias Core
‎[8/1/24, 8:26:07 AM] Venegas: ‎sticker omitido
[8/1/24, 12:19:19 PM] Santiago Actuariales: ‎Santiago Actuariales se unió usando el enlace de invitación de este grupo
[8/1/24, 1:36:50 PM] Dixon Montero: Quien era el que tenia el libro?
[8/1/24, 1:36:54 PM] Dixon Montero: 👀
‎[8/1/24, 1:43:15 PM] Gerard: Libro de proba.pdf • ‎281 páginas ‎documento omitido
[8/1/24, 1:51:30 PM] Dixon Montero: Yo creo que la profe esta mamando y tiene la versión 3
[8/1/24, 1:51:40 PM] Dixon Montero: Porque la numeración no calza con este
[8/1/24, 1:51:48 PM] Dixon Montero: Pero si con el de la 3 version
[8/1/24, 1:52:11 PM] Corella: Yo creo que si es ese
[8/1/24, 1:52:18 PM] Corella: Porque la profe hoy busco un problema
[8/1/24, 1:52:28 PM] Corella: Y si está en el mismo lugar que sale en la versión 2
‎[8/1/24, 1:53:34 PM] Corella: ‎imagen omitida
[8/1/24, 2:05:06 PM] Venegas: Entonces?
[8/1/24, 2:28:28 PM] Dixon Montero: ‎Se eliminó este mensaje.
[8/1/24, 2:28:32 PM] Dixon Montero: ‎Se eliminó este mensaje.
[8/1/24, 2:28:46 PM] Dixon Montero: ‎Se eliminó este mensaje.
[8/1/24, 2:30:00 PM] Dixon Montero: Suave yo soy el que está mamando
[8/1/24, 2:30:10 PM] Dixon Montero: 🤣🤣🤣
[8/1/24, 2:30:17 PM] Dixon Montero: Cosas de no saber inglés
[8/1/24, 2:31:00 PM] Dixon Montero: De la 31 a la 33 están los problemas
[8/1/24, 2:31:08 PM] Dixon Montero: Según yo eran los que decían ejercicios
[8/1/24, 2:31:10 PM] Dixon Montero: 🫠
[8/1/24, 2:33:26 PM] Venegas: Mae para mamapichas llamenlo
[8/1/24, 2:33:33 PM] Venegas: Mejor vaya y se la chupa a sebas un rato
[8/1/24, 2:33:53 PM] Dixon Montero: Porque no viene y me la chupa usted
[8/1/24, 7:56:57 PM] ~ Alonso 💥: ‎~ Alonso 💥 se unió usando el enlace de invitación de este grupo
[9/1/24, 8:56:06 AM] Javier Hernández: .
[9/1/24, 8:56:13 AM] Javier Hernández: https://t.me/+Mv9fNrG-bb84Zjkx
‎[9/1/24, 10:55:42 AM] Corella: ‎imagen omitida
[10/1/24, 8:15:57 AM] Venegas: La profe ya llegó?
‎[10/1/24, 10:08:59 AM] Javier Hernández: ‎imagen omitida
[11/1/24, 8:33:25 AM] Venegas: Kembly dará Contingencias de Vida
Maykol Solis Estadística 
No me acuerdo el nombre, pero Estocásticos lo dará el mismo mae del año pasado 
y Herramientas ll, aún no se sabe
[11/1/24, 8:33:29 AM] Venegas: Javier es tentativa
[11/1/24, 8:33:43 AM] Venegas: Yo no dije nada jajajaja, info clasificada
‎[11/1/24, 9:03:53 AM] Paula: ‎sticker omitido
[11/1/24, 2:14:19 PM] Venegas: @50663600334
[11/1/24, 2:14:37 PM] Venegas: Maes, Santiago está en el grupo?
[11/1/24, 2:14:53 PM] Venegas: La profe dijo que la 9 se podía hacer a palabras
[11/1/24, 2:14:54 PM] Venegas: ?
[11/1/24, 2:15:06 PM] Venegas: En plan, tiene que ser formal o hay que explicarla?
[11/1/24, 2:18:39 PM] Santiago Actuariales: Hola 😂
[11/1/24, 2:19:34 PM] Santiago Actuariales: Sí, explique por qué está esa fórmula, todos los elementos digamos
Y sí con palabras, según yo no hay otra forma de hacerlo con lo del capítulo 1
[11/1/24, 2:27:25 PM] Venegas: Gracias bro
[11/1/24, 2:27:47 PM] Venegas: Oka oka, voy a ponerlo en el grupo de telegram
[11/1/24, 2:27:53 PM] Venegas: porque la zorra de @50686093714
[11/1/24, 2:27:54 PM] Venegas: No cree
[11/1/24, 2:42:45 PM] Venegas: @50663600334 
A usted la profe le dijo algo de la 9?
[11/1/24, 2:44:31 PM] Lau Villacís: ‎Se eliminó este mensaje.
[11/1/24, 2:45:29 PM] Venegas: Malparido @50685161588
[11/1/24, 3:27:48 PM] Dixon Montero: Ocupan ayuda con la 9?
[11/1/24, 3:28:14 PM] Dixon Montero: Así de paso me ayudan con la 14 jeje
[12/1/24, 11:19:03 AM] Venegas: feliz cumple @50684441770
[12/1/24, 11:19:06 AM] Venegas: ky ky
‎[12/1/24, 11:19:08 AM] Venegas: ‎sticker omitido
‎[12/1/24, 11:19:11 AM] Venegas: ‎sticker omitido
[12/1/24, 11:19:13 AM] Venegas: jajajajajaja
[12/1/24, 11:19:16 AM] Venegas: pásela bonito
[12/1/24, 1:18:44 PM] Corella: Si subió alguillo el corte de Actuariales jajaja
[12/1/24, 1:19:13 PM] Ashley Padilla: Un poquitillo nada más 😂 ‎<Se editó este mensaje.>
[12/1/24, 1:19:26 PM] Sebas: En cuánto quedó?
[12/1/24, 1:19:31 PM] Ashley Padilla: 658
[12/1/24, 1:19:34 PM] Sebas: Uy
[12/1/24, 1:19:42 PM] Sebas: Pero es que el PHC estaba muy bajo
‎[12/1/24, 1:19:52 PM] Felix: ‎sticker omitido
[12/1/24, 1:25:30 PM] Adrian: No estaba en 60?
‎[12/1/24, 1:49:58 PM] Javier Hernández: ‎imagen omitida
[12/1/24, 1:50:17 PM] Javier Hernández: Se empieza a ver la fama que le hicieron
[12/1/24, 1:50:24 PM] ~ Juan Pablo M.: en que momento
[12/1/24, 1:52:00 PM] Javier Hernández: 70 creo
[12/1/24, 1:53:29 PM] Adrian: Creo que fue 100% por el cambio de plan y porque el año pasado salió como la carrera mejor pagada
[12/1/24, 1:53:52 PM] Javier Hernández: Exacto, pienso lo mismo
[12/1/24, 1:54:07 PM] Javier Hernández: Ya no da ese miedo de llevar mates puras
[12/1/24, 1:54:46 PM] ~ Juan Pablo M.: pero siguen siendo casi los mismos profes al final
[12/1/24, 1:55:30 PM] Adrian: Que pereza zzz. Me gustaba que actuariales fuera baja, la hacía de nicho
[12/1/24, 1:55:47 PM] ~ Juan Pablo M.: kqjajajs, que fuera baja le daba el toque
[12/1/24, 1:56:00 PM] ~ Juan Pablo M.: era parte de la carrera que el corte siempre fuera 500
[12/1/24, 1:56:06 PM] Adrian: Estoy de acuerdo
[12/1/24, 1:56:37 PM] Javier Hernández: Aunque aveces pasa que de los 40 cupos solo concursaron 10 personas y entonces todas entran, por lo que el corte es la nota de la persona 10
[12/1/24, 1:59:28 PM] Adrian: Ahorita sale una u privada con nueva carrera actuariales XD
[12/1/24, 2:19:08 PM] Venegas: Eso sí
[12/1/24, 2:19:21 PM] Venegas: Me cago en CRHOY
[12/1/24, 2:19:48 PM] Venegas: Confirmo, pero se los van a culear a la mayoría en 151
‎[12/1/24, 2:19:50 PM] Venegas: ‎sticker omitido
[12/1/24, 2:19:52 PM] Venegas: Viva Dios
[12/1/24, 2:20:05 PM] Venegas: Eso sí
[12/1/24, 2:20:12 PM] Venegas: De hecho, eso pasa en Mate
[12/1/24, 2:20:15 PM] Venegas: 😂😂😂😍😍😂
[12/1/24, 2:20:23 PM] Venegas: No, cuesta mucho
[12/1/24, 2:20:40 PM] Venegas: Primero tienen que contratar actuarios, y qué actuario va a querer ser profe?
[12/1/24, 2:20:50 PM] Venegas: Por lo menos en los próximos 10-15 años
[12/1/24, 2:20:58 PM] Venegas: Ninguna privada va a tener Actuariales
[12/1/24, 2:21:10 PM] Venegas: Depende de qué profes se quieran prostituir
[12/1/24, 2:21:19 PM] Venegas: Y la mayoría de actuariales quieren plata
[12/1/24, 2:21:21 PM] Venegas: no enseñar
[12/1/24, 2:21:37 PM] Venegas: eso si quedan en CR, porque habrá muchos que se van del país
[12/1/24, 2:28:31 PM] Adrian: voy ahi cuando me gradue, yo voy a fundar actuariales en la latina. Con mate de colegio y progra de ingeniero ‎<Se editó este mensaje.>
‎[12/1/24, 2:31:48 PM] Adrian: ‎imagen omitida
[12/1/24, 2:33:02 PM] Venegas: jajajaja
[12/1/24, 2:33:03 PM] Venegas: sí
[12/1/24, 2:33:05 PM] Venegas: Tiene el.doc
[12/1/24, 2:33:07 PM] Venegas: me lo pasan
[12/1/24, 2:33:10 PM] Venegas: Porfas
‎[12/1/24, 2:33:19 PM] Adrian: Cortes-Primer-Ingreso-2024.pdf • ‎12 páginas ‎documento omitido
‎[12/1/24, 5:20:50 PM] Corella: ‎imagen omitida
‎[12/1/24, 5:21:05 PM] Andrés Montero: ‎sticker omitido
[12/1/24, 5:21:07 PM] Ashley Padilla: NOOOO JAJAJJA
‎[12/1/24, 5:22:05 PM] ~ Juan Pablo M.: ‎sticker omitido
[12/1/24, 6:20:24 PM] Venegas: XDDDD
[14/1/24, 6:33:14 PM] Dixon Montero: ‎Se eliminó este mensaje.
[14/1/24, 6:33:31 PM] Corella: Jajajaja
[14/1/24, 6:33:34 PM] Ashley Padilla: Que fue esa foto Dixon 😳😳
[14/1/24, 6:34:15 PM] Dixon Montero: 🤫
[14/1/24, 6:34:19 PM] Dixon Montero: Sea sapa jajaja
[14/1/24, 7:46:05 PM] Venegas: Si le gustó pídala por privada sapa
‎[14/1/24, 7:46:26 PM] Venegas: ‎sticker omitido
‎[16/1/24, 10:31:52 AM] Javier Hernández: ‎sticker omitido
[16/1/24, 10:31:55 AM] Javier Hernández: @50684743854
[16/1/24, 10:53:43 AM] Venegas: XD
‎[16/1/24, 3:05:34 PM] Dixon Montero: ‎imagen omitida
[16/1/24, 3:05:48 PM] Venegas: Uuuy que hombre más yico
[16/1/24, 3:06:02 PM] Ashley Padilla: Animo ánimo ánimo!!!
[16/1/24, 3:06:03 PM] Venegas: Cuando le crezcan más los bracitos, me los pone de collar
‎[16/1/24, 3:06:06 PM] Venegas: ‎sticker omitido
[16/1/24, 3:06:08 PM] Venegas: sapa
[16/1/24, 3:06:33 PM] Javier Hernández: Uy suave 😍
‎[16/1/24, 3:06:56 PM] Javier Hernández: ‎sticker omitido
[16/1/24, 3:07:04 PM] Javier Hernández: Suave qué?
[16/1/24, 3:07:05 PM] Javier Hernández: Jajaja
[16/1/24, 3:07:11 PM] Venegas: Durooooo ‎<Se editó este mensaje.>
[16/1/24, 3:08:30 PM] Javier Hernández: @50687068012 pero mande bien el pack
[16/1/24, 3:11:56 PM] Venegas: Una sin camisa porfas
‎[16/1/24, 3:12:02 PM] Venegas: ‎sticker omitido
[18/1/24, 6:21:56 PM] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
[21/1/24, 8:48:43 PM] Adrian: maes la consulta mañana comenzaba a las 9 o a las 8?
[21/1/24, 8:54:30 PM] Anthony: 8
[21/1/24, 8:54:54 PM] Javier Hernández: Pero es mejor escribirle a la profe
[21/1/24, 8:54:57 PM] Javier Hernández: Para confirmar
‎[23/1/24, 1:12:13 AM] Adrian: ‎imagen omitida
‎[23/1/24, 1:12:14 AM] Adrian: ‎imagen omitida
‎[23/1/24, 1:12:14 AM] Adrian: ‎imagen omitida
[23/1/24, 8:54:39 AM] Javier Hernández: Se ganó un beso Adrián
‎[23/1/24, 8:55:20 AM] Gerard: ‎imagen omitida
[23/1/24, 3:00:12 PM] Venegas: maes
[23/1/24, 3:00:20 PM] Venegas: verdad que es Raúl el que hace el examen
[23/1/24, 3:00:54 PM] Adrian: Este creo que lo hace Jennifer. Lo que alguien me había dicho es que talvez Raúl lo revise
[23/1/24, 3:39:30 PM] Venegas: Si hablé mierda en Telegram, *CLARAMENTE ESTOY CAGADO*
‎[23/1/24, 3:39:32 PM] Venegas: ‎sticker omitido
[23/1/24, 3:39:44 PM] Venegas: *IJOSUPUTAMADRE LLAMEN A DIOS*
‎[23/1/24, 3:39:45 PM] Venegas: ‎sticker omitido
‎[23/1/24, 4:00:27 PM] Paula: ‎sticker omitido
[24/1/24, 3:15:14 PM] Anthony: https://www.instagram.com/p/C2dSVEnRl40/?hl=en
[24/1/24, 3:16:20 PM] Anthony: En ese post esta el link para concurso de asistencia
[24/1/24, 3:21:54 PM] ~ Alonso 💥: Anthony sabe que  significa HA y HE?
[24/1/24, 3:22:09 PM] Corella: Horas asistente y horas estudiante
[24/1/24, 3:22:12 PM] Javier Hernández: Horas estudiante y horas asistencia
‎[24/1/24, 3:22:23 PM] Javier Hernández: ‎sticker omitido
[24/1/24, 3:22:45 PM] ~ Alonso 💥: Pura vida
[24/1/24, 11:20:48 PM] Paula: @50684958272 puede enviar su examen para que la profe lo resuelva mañana?
‎[24/1/24, 11:20:50 PM] Paula: ‎sticker omitido
[24/1/24, 11:21:29 PM] ~ Alonso 💥: Es que el examen que tengo creo que es de la 2 parte no de la primera 🥲
‎[24/1/24, 11:21:31 PM] ~ Alonso 💥: ‎sticker omitido
[24/1/24, 11:21:41 PM] ~ Alonso 💥: El de la primera no lo encuentro
‎[24/1/24, 11:21:53 PM] ~ Alonso 💥: ‎imagen omitida
‎[24/1/24, 11:22:45 PM] Venegas: ‎sticker omitido
[24/1/24, 11:25:34 PM] Paula: Gracias
‎[24/1/24, 11:25:46 PM] ~ Alonso 💥: ‎sticker omitido
‎[24/1/24, 11:26:50 PM] Javier Hernández: ‎sticker omitido
[25/1/24, 7:47:57 AM] Corella: Buenos días gente, una preguntilla. Eso de que nos pasaron a la 404 fue solo por ayer o es también para el resto de clases?
[25/1/24, 7:54:21 AM] Anthony: Solo ayer
‎[25/1/24, 7:54:45 AM] Corella: ‎sticker omitido
[25/1/24, 7:54:48 AM] Corella: Gracias!
[25/1/24, 3:03:44 PM] Venegas: Qué avisada más brava👌🏻💔
‎[25/1/24, 3:54:24 PM] Paula: ‎sticker omitido
[29/1/24, 6:06:12 PM] Anthony: Gente, ya esta abierta la prematricula del TCU, desde hoy hasta el miercoles
[29/1/24, 6:06:21 PM] Anthony: https://tcu.ucr.ac.cr/https://tcu.ucr.ac.cr/
[29/1/24, 6:09:08 PM] Anthony: Ese link no sirve salu2
[29/1/24, 6:09:11 PM] Anthony: https://accionsocial.ucr.ac.cr/modalidades/trabajo-comunidad/matricula-tcu
[29/1/24, 7:20:38 PM] Ashley Padilla: ‎Cambió tu código de seguridad con Ashley Padilla.
[30/1/24, 10:25:40 AM] ~ Alonso 💥: Alguien ya le preguntó al profe lo de mover el 5%?
[30/1/24, 10:26:09 AM] Ashley Padilla: Hágase grande y pregunte
‎[30/1/24, 10:26:24 AM] ~ Alonso 💥: ‎sticker omitido
[30/1/24, 10:26:51 AM] ~ Alonso 💥: @50684743854 hágase grande usted es la  voz del grupo
‎[30/1/24, 11:49:57 AM] Sofía Bocker: ‎imagen omitida
[30/1/24, 11:50:46 AM] Paula: Gracias
‎[30/1/24, 11:50:53 AM] Paula: ‎sticker omitido
[30/1/24, 9:21:01 PM] Dixon Montero: Maes pregunta como se le llamaba al qué parece el ganchito de ahorcado?
[30/1/24, 9:21:24 PM] Anthony: Wtf
[30/1/24, 9:21:28 PM] Anthony: Función gamma??
[30/1/24, 9:21:30 PM] Felix: Gamma
[30/1/24, 9:21:31 PM] Corella: Jajajaja
[30/1/24, 9:21:33 PM] Ashley Padilla: Gamma?
[30/1/24, 9:21:34 PM] Ashley Padilla: Jajajajjaj
[30/1/24, 9:21:38 PM] Dixon Montero: Si
[30/1/24, 9:21:40 PM] Dixon Montero: Ese
‎[30/1/24, 9:21:41 PM] Felix: ‎sticker omitido
[30/1/24, 9:21:50 PM] Sofía Bocker: Jajajaj
[30/1/24, 9:22:11 PM] Dixon Montero: Es que ocupo hacer una consulta y no me acordaba jajaja
[30/1/24, 9:22:33 PM] Luis Fer Amey: jajajaj que raro
[1/2/24, 1:34:58 PM] Marco Guardia: Para los entrevistados en repretel 
Salió el reportaje pero no salimos 😞
[1/2/24, 1:35:35 PM] Javier Hernández: Salió hoy?
[1/2/24, 1:35:40 PM] Marco Guardia: si
[1/2/24, 1:35:50 PM] Javier Hernández: Mi abuela lo vio ayer completo y nada jaja
[1/2/24, 1:35:52 PM] Javier Hernández: Con razón
[1/2/24, 1:36:00 PM] Javier Hernández: No les gustó nuestra actuación 🤣
[1/2/24, 1:36:10 PM] Marco Guardia: seguro pensó
[1/2/24, 1:36:22 PM] Marco Guardia: esta gente hablando de trabajar en banca y seguros y estudia teatro
[1/2/24, 1:36:37 PM] Sofía Bocker: Noo
[1/2/24, 1:36:49 PM] Sofía Bocker: Yo también estaba ayer viéndolo jaja
[1/2/24, 1:36:59 PM] Ashley Padilla: Hagamos una protesta
‎[1/2/24, 1:38:16 PM] Corella: ‎sticker omitido
[1/2/24, 2:02:25 PM] Venegas: JAJAJAJAJA
[1/2/24, 10:55:38 PM] Javier Hernández: Raúl: 
https://www.instagram.com/reel/C1-EqeaOKwu/?igsh=MWR4Y2pnbHg3ZW5hMg==
[1/2/24, 10:57:00 PM] Adrian: Raul: pero con este trucazo sale en 3 líneas
[1/2/24, 10:57:32 PM] Javier Hernández: Procede a cambiar la integral completamente y listo, trivial 👍🏽
[4/2/24, 8:47:21 PM] Javier Hernández: Hey, por si acaso, mañana vence el pago de la matrícula, para que no se les olvide y luego les cobren intereses en vano 🫶🏽
‎[4/2/24, 8:48:15 PM] Paula: ‎sticker omitido
[5/2/24, 1:16:48 PM] Corella: Una preguntilla, no entregaron los exámenes al final?
[5/2/24, 1:17:10 PM] Ashley Padilla: No :(
[5/2/24, 1:18:06 PM] Corella: Ah bueno, gracias!
[6/2/24, 1:35:42 PM] Javier Hernández: Hey!! Hoy salió la noticia 🥲
[6/2/24, 1:35:53 PM] Javier Hernández: @50686093714 @50670768120 @50684441770 @50684091091
[6/2/24, 1:36:00 PM] Corella: No la grabó?
[6/2/24, 1:36:13 PM] Javier Hernández: Hay que estar pendientes a las noticias de la noche
[6/2/24, 1:36:14 PM] Dixon Montero: Fue noticias repretel?
[6/2/24, 1:36:16 PM] Javier Hernández: No 🥲
[6/2/24, 1:36:17 PM] Ashley Padilla: Es teletica?
[6/2/24, 1:36:26 PM] Javier Hernández: Fue una tía que me escribió 🤣
[6/2/24, 1:36:30 PM] Javier Hernández: Que me vio en noticias
[6/2/24, 1:36:32 PM] Javier Hernández: Imagínese
[6/2/24, 1:36:36 PM] Javier Hernández: Repretel
[6/2/24, 1:36:39 PM] Javier Hernández: En el 6
[6/2/24, 1:36:46 PM] Javier Hernández: En la noche les aviso, y si la veo lo grabo
[6/2/24, 1:36:47 PM] Dixon Montero: Ahora se los paso entonces
[6/2/24, 1:36:47 PM] Sofía Bocker: En Facebook ponen siempre las noticias
[6/2/24, 1:36:54 PM] Sofía Bocker: Completas
[6/2/24, 1:37:03 PM] Javier Hernández: Hay que buscarla
[6/2/24, 1:39:03 PM] Sofía Bocker: https://www.facebook.com/share/v/AA5cKmcvsKhRSfDU/?mibextid=WC7FNe

Cuando termine el directo se puede buscar
[6/2/24, 1:40:47 PM] Javier Hernández: Bien Sofi!!
[6/2/24, 1:40:47 PM] Javier Hernández: Jajaja
[6/2/24, 1:42:05 PM] Anthony: https://www.repretel.com/noticia/cuales-son-los-5-puestos-de-trabajo-mas-dificiles-de-conseguir-en-costa-rica/
[6/2/24, 1:48:17 PM] Dixon Montero: https://youtu.be/hSr9seXYGxM?si=kqLa4ObOKjzFR_tZ
[6/2/24, 1:52:10 PM] Ashley Padilla: Cosiiiis, que lindooooos
[6/2/24, 1:53:06 PM] Sofía Bocker: Sii jaja, se nota que los cortaron, pero lo hicieron bien
‎[6/2/24, 1:54:48 PM] Paula: ‎sticker omitido
[6/2/24, 2:00:04 PM] Javier Hernández: Ella no andaba esa ropa el día que nos entrevistó
[6/2/24, 2:00:08 PM] Javier Hernández: Nos usaron
[6/2/24, 2:00:13 PM] Javier Hernández: Ese no era el fin de la pregunta
[6/2/24, 2:00:16 PM] Javier Hernández: Me siento estafado
[6/2/24, 2:00:16 PM] Javier Hernández: Jajaja
[6/2/24, 2:01:07 PM] Marco Guardia: qué vergüenza
[6/2/24, 2:01:12 PM] Javier Hernández: Jajaja
‎[6/2/24, 2:01:38 PM] Venegas: ‎audio omitido
[6/2/24, 2:01:42 PM] Venegas: @50686093714
[6/2/24, 2:01:46 PM] Venegas: Te amo beibi
[6/2/24, 2:02:32 PM] Sofía Bocker: https://youtu.be/YRZkqyySKTs?si=jPoBjrXKoUlpdpQq

Aquí si tiene la misma ropa, verdad?
[6/2/24, 2:02:52 PM] Venegas: uuuf que buena Jaw line tiene esa guila😳👌🏻
[6/2/24, 2:04:23 PM] Marco Guardia: sí
[6/2/24, 2:04:30 PM] Marco Guardia: esa fue la que yo vi el otro día
[6/2/24, 2:04:35 PM] Marco Guardia: y supuse que no nos habían puesto
[6/2/24, 3:33:19 PM] Javier Hernández: Mi amigo el que no perdona una:
[6/2/24, 3:33:54 PM] Javier Hernández: Perdió la fé muy rápido
‎[6/2/24, 11:11:45 PM] Javier Hernández: ‎imagen omitida
[6/2/24, 11:11:57 PM] Javier Hernández: Pensé que eran los exámenes
[7/2/24, 6:16:29 AM] Luis Fer Amey: Si son pero los tiene que subir después a lo mejor
[7/2/24, 6:41:12 AM] Luis Fer Amey: Mentira ya están
[7/2/24, 6:49:38 AM] Javier Hernández: Madrugando la profe
[7/2/24, 6:49:52 AM] Javier Hernández: Que cosi, hizo la asignación para ponerle a cada uno la nota
‎[13/2/24, 5:48:10 PM] Venegas: ‎imagen omitida
‎[14/2/24, 1:40:34 PM] Venegas: Sede_RodrigoFacio_1_2024.pdf • ‎313 páginas ‎documento omitido
‎[14/2/24, 1:41:05 PM] Paula: ‎sticker omitido
[15/2/24, 2:31:01 PM] Venegas: gente!
[15/2/24, 2:31:12 PM] Venegas: Preguntar seria, porfa, traten de responder
[15/2/24, 2:31:47 PM] Venegas: ‎ENCUESTA:
Si Actuariales tuviera optativas, las llevarían? Optativas No obligatorias
‎OPCIÓN: Sí (18 votos)
‎OPCIÓN: No (1 voto)
[15/2/24, 2:31:59 PM] Venegas: Es para algo serio
[15/2/24, 2:32:07 PM] Venegas: Tons me gustaría saber qué opinan
